Campaign Title,Campaign URL,Best Match,Match Score,title,description,publishedAt
Crips for eSims for Gaza,https://chuffed.orghttps://chuffed.org/project/crips-for-esims-for-gaza,How You Can Get Tax Write-Offs For Taking Luxurious Vacations,86,How You Can Get Tax Write-Offs For Taking Luxurious Vacations,"Imagine enjoying a luxurious vacation at an exotic destination, all while knowing that part of your trip could be written off on your taxes.",2024-08-31 17:20:31+00:00
Crips for eSims for Gaza,https://chuffed.orghttps://chuffed.org/project/crips-for-esims-for-gaza,Medieval knight in training for Great North Run,86,Medieval knight in training for Great North Run,Sir Runs A Lot is fundraising to improve accessibility at Newcastle's Black Gate and castle keep.,2024-09-04 05:08:19+00:00
Upgrade Democracy,https://chuffed.orghttps://chuffed.org/project/upgrade-democracy,,,,,
Pardon Donziger,https://chuffed.orghttps://chuffed.org/project/free-donziger,,,,,
"South Gaza: Tent, Cash Aid & Medical Aid",https://chuffed.orghttps://chuffed.org/project/113222-tent-campaign-the-sameer-project,‘My family never gave up on me’: From sleeping rough in Dublin to representing Ireland in South Korea,86,‘My family never gave up on me’: From sleeping rough in Dublin to representing Ireland in South Korea,"‘Once you stay drug-fee, anything in life is possible, I’m living proof of that,’ says member of Ireland squad for Homeless World Cup",2024-09-02 06:28:01+00:00
"South Gaza: Tent, Cash Aid & Medical Aid",https://chuffed.orghttps://chuffed.org/project/113222-tent-campaign-the-sameer-project,"Heavy flooding in central Europe has countries seek EU aid, funds",86,"Heavy flooding in central Europe has countries seek EU aid, funds","Torrential rains have severely impacted central European countries in the past few days, with Czechia confirming it will use EU funds and Poland announcing it will seek EU financial assistance and possibly activate the EU's emergency mechanism.",2024-09-16 04:48:43+00:00
"North and Central Gaza: Food, Water, Diapers + Milk, Medical aid",https://chuffed.orghttps://chuffed.org/project/help-us-deliver-vital-aid-to-gaza-families-in-need,Prince Harry is set to inherit millions on his 40th birthday. Here's how he and Meghan Markle make and spend their money.,86,Prince Harry is set to inherit millions on his 40th birthday. Here's how he and Meghan Markle make and spend their money.,Prince Harry will reportedly inherit millions from a trust set up by the Queen Mother when he turns 40 on Sunday.,2024-09-14 13:41:42+00:00
"North and Central Gaza: Food, Water, Diapers + Milk, Medical aid",https://chuffed.orghttps://chuffed.org/project/help-us-deliver-vital-aid-to-gaza-families-in-need,Art Heals: Hauser & Wirth And Hospital Rooms Reimagine Recovery By Bringing Color To Mental Health Spaces,86,Art Heals: Hauser & Wirth And Hospital Rooms Reimagine Recovery By Bringing Color To Mental Health Spaces,"The impact of creativity and art-making on mental health: the ""Digital Art School"" exhibition at Hauser & Wirth London, runs from August 22 to September 10, 2024",2024-08-31 21:02:48+00:00
Refaat Alareer Camp - The Sameer Project,https://chuffed.orghttps://chuffed.org/project/113327-refaat-alareer-camp-the-sameer-project,"The Changemaker Interview: Kristen Ferguson, University Of Notre Dame",86,"The Changemaker Interview: Kristen Ferguson, University Of Notre Dame",Smartphone popularity creates opportunities and challenges for fundraisers according to “The Mobile Giving Gap: The Negative Impact of Smartphones on Donation Behavior”,2024-08-27 14:00:00+00:00
Refaat Alareer Camp - The Sameer Project,https://chuffed.orghttps://chuffed.org/project/113327-refaat-alareer-camp-the-sameer-project,A pro-lifer called out JD Vance—now the right is coming for her charity,86,A pro-lifer called out JD Vance—now the right is coming for her charity,"A rift is growing among pro-lifers online. 


The center of the division is Live Action, a prominent anti-abortion non-profit, that is facing accusations from some in pro-life circles of using its donations towards ineffectual efforts.


The fight comes after…",2024-08-28 16:39:26+00:00
Legal Fund of Michigan Students for Palestine,https://chuffed.orghttps://chuffed.org/project/um-palestine-legalfund,New details emerge in rescue of hiker allegedly left behind by coworkers on mountain,86,New details emerge in rescue of hiker allegedly left behind by coworkers on mountain,An insurance underwriter rescued on a central Colorado mountain after allegedly being left behind by his coworkers was hiking for World Central Kitchen.,2024-08-29 16:53:58+00:00
Legal Fund of Michigan Students for Palestine,https://chuffed.orghttps://chuffed.org/project/um-palestine-legalfund,"The Changemaker Interview: Kristen Ferguson, University Of Notre Dame",86,"The Changemaker Interview: Kristen Ferguson, University Of Notre Dame",Smartphone popularity creates opportunities and challenges for fundraisers according to “The Mobile Giving Gap: The Negative Impact of Smartphones on Donation Behavior”,2024-08-27 14:00:00+00:00
Clean drinking water project for Gaza,https://chuffed.orghttps://chuffed.org/project/clearn-water-for-gaza,How You Can Get Tax Write-Offs For Taking Luxurious Vacations,86,How You Can Get Tax Write-Offs For Taking Luxurious Vacations,"Imagine enjoying a luxurious vacation at an exotic destination, all while knowing that part of your trip could be written off on your taxes.",2024-08-31 17:20:31+00:00
Clean drinking water project for Gaza,https://chuffed.orghttps://chuffed.org/project/clearn-water-for-gaza,Waterloo region organizations hungry for donations to help feed kids,86,Waterloo region organizations hungry for donations to help feed kids,A Waterloo region charity that provides food to school children in need says it’s hungry for donations as kids prepare to return to class.,2024-08-26 08:00:00+00:00
